word,count
retrieved,77
attention,77
treatment,77
letter,77
factors,77
border,77
regions,76
paper,76
loss,76
san,76
currently,76
month,76
students,76
native,76
hours,76
issued,76
wife,76
break,76
relationship,76
magazine,76
ability,76
minutes,76
sequence,76
carried,75
helped,75
via,75
reach,75
raised,75
constitutional,75
economy,75
degree,75
declared,75
share,75
win,75
ruled,75
marketing,75
division,75
slaves,75
musicians,75
historical,74
occurred,74
opened,74
publication,74
type,74
hold,74
complex,74
separate,74
basis,74
l,74
highly,74
district,74
paid,74
initially,74
turkey,74
ordered,74
operations,74
located,74
character,74
context,74
playing,74
divided,74
windows,74
kind,73
definition,73
mind,73
makes,73
signed,73
training,73
worked,73
spent,73
thing,73
floor,73
efforts,73
clause,73
heavy,72
mark,72
accepted,72
opinion,72
activity,72
represented,72
advanced,72
domestic,72
illegal,72
opposed,72
criticized,72
copies,72
presented,72
professor,72
aid,72
fight,72
provides,72
un,72
canada,72
blade,72
aphasia,72
pakistan,72
responsible,71
india,71
clear,71
problems,71
empire,71
k,71
larger,71
fighting,71
territories,71
products,71
republican,71
immediately,71
someone,71
factor,71
organizations,71
scene,71
avoid,71
stop,71
staff,71
seconds,71
sites,71
officer,71
price,71
plant,71
mainwaring,71
probably,70
reasons,70
historians,70
humans,70
false,70
novel,70
size,70
lives,70
financial,70
association,70
cultural,70
park,70
felt,70
expressed,70
revealed,70
miles,70
determined,70
harry,70
replaced,70
gen,70
alternative,69
episode,69
questions,69
australian,69
prime,69
continue,69
rules,69
prevent,69
simply,69
runner,69
jones,69
notes,69
committed,69
reason,69
meeting,69
methods,69
actual,69
onto,69
standards,69
grand,69
courts,69
station,69
confederacy,69
slave,69
diesel,69
starting,68
animals,68
spring,68
treaty,68
except,68
kept,68
secretary,68
focused,68
leaders,68
armed,68
tower,68
nine,68
sales,68
basic,68
forced,68
lines,68
deaths,67
figures,67
really,67
text,67
compared,67
applied,67
beyond,67
japanese,67
representatives,67
affected,67
child,67
creation,67
administration,67
powers,67
closure,67
car,67
judge,67
dead,66
arrived,66
thousands,66
edition,66
literature,66
expected,66
removed,66
toward,66
tradition,66
types,66
effort,66
summer,66
murder,66
wall,66
inside,66
internal,66
critical,66
davis,66
featured,66
designed,66
weapons,66
street,65
africa,65
ideas,65
reference,65
primarily,65
status,65
feature,65
conducted,65
object,65
online,65
programs,65
software,65
philosophy,65
daily,64
rest,64
journal,64
remains,64
town,64
phrase,64
note,64
